Name,Platform,Token utility,Technicality,Token distributions,Use_of_funds,Lockup,Vesting,Risk,Governance,team_bio,team_tech,team_market,team_size,advisor_size,advisor_tech,Basics ,Application
Mining Solutions,0,1,0,1,1,0,0,1,0,3,0,0,4,2,1,,
Monartis,0,1,0,1,1,0,0,1,0,3,1,1,8,0,0,,
Moncrypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ONG Coin,0,1,0,1,0,0,0,1,0,2,0,0,7,5,0,,
PentaCore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Pingvalue,0,1,0,1,1,1,0,1,0,3,1,1,3,4,1,,
Qbao,1,2,0,1,1,1,1,1,0,1,0,0,0,0,0,,
RAAcoin,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,,
RChain,1,2,0,1,0,0,0,0,0,3,2,1,8,3,1,,
Reftoken,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
Rocket Pool,0,0,0,1,1,0,0,0,0,3,1,0,2,0,0,,
Sinergia Blockchain,0,1,0,1,1,0,0,0,0,2,0,0,12,0,0,,
Smartprogress,0,0,0,1,1,0,0,0,0,3,1,0,2,0,0,,
Soferox,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
SunMultiwallet,0,0,0,1,0,0,0,0,0,3,0,1,3,0,0,,
Sur-Ple,0,1,1,1,1,0,0,0,1,3,1,0,3,1,1,,
Thrintel Market,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Trendit,0,1,0,1,0,0,0,1,0,3,1,0,8,2,0,,
Ventureon,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,
Viso,0,1,0,1,1,0,0,0,0,3,1,0,6,0,0,,
xchainge,1,2,2,1,1,0,1,1,1,3,1,2,17,7,1,,
APIS,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,
Aware,1,1,0,0,1,1,1,1,1,3,1,2,5,7,1,,
BlockFollow,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,,
CargoX,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
CryptoXpress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CyberX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Demeter,0,1,0,0,0,0,0,0,0,3,1,1,4,2,0,,
eco-NAN,0,0,0,1,1,0,0,1,0,2,1,0,10,1,0,,
ehab,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,,
Ellcrys,1,1,1,1,0,0,0,0,0,2,0,0,7,5,0,,
ErosCoin,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
FAST INVEST,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,,
FUELDApp,1,1,0,1,1,0,0,0,0,3,1,1,6,6,1,,
FutureWorks Token,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,,
Global Metrology Project,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,,
Golden Alliance,0,1,0,1,1,0,0,0,0,3,0,0,6,0,0,,
GPCC,0,1,0,1,0,0,0,0,0,2,0,0,4,0,0,,
Gym Coin,0,1,0,1,0,0,0,1,0,3,0,0,3,2,0,,
IcoBasis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
jboxcoin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kencoin,0,1,0,1,1,0,0,0,0,3,1,1,3,0,0,,
KStarCoin,0,2,0,1,1,0,0,1,0,3,0,1,7,5,1,,
Machtcoin,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,,
MaskNetwork,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
MCX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MD Tokens,0,0,0,1,0,0,0,1,0,3,0,2,10,0,0,,
Monaize,0,1,0,1,1,0,1,1,0,2,0,0,7,0,0,,
Neunet,0,1,0,1,1,0,1,1,0,3,1,0,2,0,0,,
NOLLYCOIN,0,1,0,1,0,0,0,1,0,3,1,1,6,14,0,,
Notary,0,0,0,1,1,0,0,1,0,3,1,1,8,4,0,,
OVATO,0,1,1,1,1,1,0,1,0,3,2,1,17,0,0,,
Protex,0,1,2,1,1,0,0,0,0,3,1,1,4,0,0,,
Rate3,0,1,0,1,1,0,0,1,0,2,0,0,10,14,0,,
RAVELOUS,0,1,0,1,1,0,1,1,1,3,1,0,5,1,0,,
Real Property Token,0,1,0,1,0,0,0,0,0,2,0,0,11,2,0,,
SALPay,0,1,1,1,1,0,0,1,0,2,0,0,8,0,0,,
Sinergia,0,1,0,1,1,0,0,0,0,2,0,0,11,0,0,,
Sintez,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,,
Startima,0,1,0,1,0,0,0,0,0,2,0,0,6,11,0,,
SuperDAO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Advertising Currency,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Trippki,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Universal Labs,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,
Vector,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,
Whizz Coin,0,1,0,1,1,0,0,0,0,3,0,0,1,0,0,,
Wireline,1,0,0,0,0,1,1,0,1,3,1,0,5,6,0,,
Zabercoin,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,,
Zerotraffic,0,2,0,0,0,0,0,0,0,3,1,0,4,0,0,,
AntiqMall,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Biometrids,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,,
Blockshipping GSCP,0,1,1,1,1,0,0,1,0,3,1,0,4,4,1,,
CRYCASH,0,1,0,1,1,1,1,1,0,3,2,0,5,2,0,,
Cryptonex,0,0,0,0,1,0,0,0,0,2,1,0,9,0,0,,
Deep Gold,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,,
DomusCoins,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,,
Engraved,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,,
Ethereum Metal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Ethos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
FreelancerCoin,0,1,0,1,1,0,0,1,0,3,1,0,4,5,0,,
Genesis World,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
Giftz.io,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,,
Grace,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,
HighCastle,1,0,0,1,0,0,0,0,0,3,0,0,3,1,0,,
Hiveway,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,,
Hybrid Betting,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,
Invox Finance,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,
iQuant,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,,
Izetex,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
JoinGrowth,0,1,0,1,0,0,1,1,0,3,1,1,15,0,0,,
Krios,0,0,0,1,1,0,0,1,0,2,0,0,18,0,0,,
Librium,0,0,2,1,1,0,0,0,0,3,1,0,5,0,0,,
MRAToken,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,
MyOddz,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,
Nami.Trade,1,1,0,1,1,0,0,1,0,3,0,1,3,0,0,,
NKN,1,1,2,,,,,,,,,,,,,,
NEWS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
NOKU,0,0,0,1,1,0,1,0,0,3,1,0,8,4,1,,
Opakeco,0,0,0,1,1,0,1,0,1,3,1,1,6,0,0,,
Persona,0,2,0,1,1,0,0,1,0,3,2,0,3,0,0,,
Proxycard,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,
Puff Puff Network,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,,
Quantocoin,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,
REVV Coin,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
sharder protocol,0,0,0,1,1,0,1,0,0,3,1,1,17,3,0,,
Silvercoin,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
SISA,0,0,0,1,0,0,0,1,0,3,1,1,6,0,0,,
Stelcoin,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,
Streamity,0,1,0,1,1,0,0,0,0,3,2,1,12,4,1,,
Target Coin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Tipper,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TrafficX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
VENDEX,0,1,0,1,0,1,0,0,0,2,0,0,12,0,0,,
Vista Fintech,1,1,0,1,0,0,1,0,0,3,1,0,2,0,0,,
Water to the World,0,1,0,1,0,0,0,0,0,3,0,0,4,5,2,,
WYS,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,,
XZEN,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,,
YooPing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
