Name,Platform,Token utility,Technicality,Token distributions,Use_of_funds,Lockup,Vesting,Risk,Governance,team_bio,team_tech,team_market,team_size,advisor_size,advisor_tech,Basics ,Application
NKN,,,,,,,,,,,,,,,,1,4
Nucleus Vision,,,,,,,,,,,,,,,,1,1
Ocean Protocol,,,,,,,,,,,,,,,,1,3
Odyssey,0,0,1,0,0,0,0,1,1,3,2,0,9,10,1,1,3
Olympus Labs,,,,,,,,,,,,,,,,3,2
Omise GO,,,,,,,,,,,,,,,,1,2
On.Live,,,,,,,,,,,,,,,,3,4
Open ANX,,,,,,,,,,,,,,,,3,2
Open Platform,,,,,,,,,,,,,,,,0,NA
Oracles Network,,,,,,,,,,,,,,,,NA,NA
Origintrail,,,,,,,,,,,,,,,,3,4
ORS ICO,,,,,,,,,,,,,,,,3,1
Pareto Network,0,2,1,,,,,,,,,,,,,3,4
PATRON,0,2,1,,,,,,,,,,,,,3,4
Paycent,,,,,,,,,,,,,,,,1,2
Paypie,0,2,1,,,,,,,,,,,,,3,4
Pecunio,0,1,0,1,0,1,0,1,0,3,1,1,10,1,1,1,2
Peerbanks,0,0,0,,,,,,,,,,,,,3,2
Pibble,0,2,1,,,,,,,,,,,,,3,4
Pillar,0,2,1,0,0,0,0,1,1,3,1,1,4,21,1,3,4
Pindify,1,1,0,0,0,0,0,0,0,3,1,1,9,3,1,3,4
Play2live,1,2,1,,,,,,,,,,,,,3,4
Playkey,0,1,1,,,,,,,,,,,,,3,3
Poet,0,2,1,,,,,,,,,,,,,3,4
PolicyPal Network,0,1,1,,,,,,,,,,,,,1,2
Polybuis,0,2,1,,,,,,,,,,,,,1,NA
Polyswarm,0,1,1,,,,,,,,,,,,,3,NA
Populous,0,2,1,,,,,,,,,,,,,3,2
Power Ledger,1,1,0,0,0,0,0,0,0,3,2,1,21,0,0,2,NA
Presearch,0,0,1,,,,,,,,,,,,,1,2
Primas,0,2,2,1,0,1,0,1,1,3,2,2,9,0,0,3,4
Project Shivom,1,2,1,0,0,0,0,1,1,3,2,2,4,11,1,3,4
Props,0,2,2,0,0,0,0,1,1,3,1,2,5,0,0,3,4
Propy,,,,,,,,,,,,,,,,1,3
Pundi X,0,0,1,,,,,,,,,,,,,1,NA
QLINK,,,,,,,,,,,,,,,,3,3
Qtum,,,,,,,,,,,,,,,,1,2
Quant Network,,,,,,,,,,,,,,,,3,2
Quantstamp,,,,,,,,,,,,,,,,3,1
Raiden Network Token,,,,,,,,,,,,,,,,3,2
Real,,,,,,,,,,,,,,,,1,2
Red Pulse ,0,1,1,,,,,,,,,,,,,1,3
Refereum,0,1,0,0,0,0,0,1,0,3,2,1,10,4,1,3,3
REMME,,,,,,,,,,,,,,,,1,3
Rentberry,,,,,,,,,,,,,,,,1,3
Request Network,,,,,,,,,,,,,,,,1,NA
Republic Protocol,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Restart Energy MWAT,0,1,0,1,1,0,1,1,0,3,2,1,16,10,1,2,3
Rialto,,,,,,,,,,,,,,,,3,2
Ripio,,,,,,,,,,,,,,,,3,2
Rivetz,,,,,,,,,,,,,,,,3,1
Robotina,0,2,1,1,1,0,1,1,0,3,2,2,16,16,1,3,NA
SALT,0,1,1,,,,,,,,,,,,,1,2
Santiment Network Token,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2
Sapien,0,1,1,,,,,,,,,,,,,1,4
Savedroid,0,2,1,,,,,,,,,,,,,NA,2
Science Blockchain,0,0,1,,,,,,,,,,,,,1,NA
Seele,1,2,1,,,,,,,,,,,,0,1,NA
Selfkey,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,3,1
Sense,0,2,1,,,,,,,,,,,,,3,4
Sentinel Chain,0,1,1,,,,,,,,,,,,,3,2
Serenity,,,,,,,,,,,,,,,,3,2
Sether,,,,,,,,,,,,,,,,3,4
SHIFT.cash,0,1,0,1,0,0,0,0,0,3,1,1,8,0,0,3,2
Shipchain,,,,,,,,,,,,,,,,3,4
Simple Token,0,1,0,1,1,0,1,1,1,3,2,1,8,0,0,1,3
SingularityNET,,,,,,,,,,,,,,,,3,3
SIX.Network,,,,,,,,,,,,,,,,1,2
SmartMesh,0,1,0,1,1,1,1,0,1,3,0,1,6,0,0,3,4
Solve.Care,,,,,,,,,,,,,,,,3,NA
SONM,,,,,,,,,,,,,,,,1,3
SophiaTX,,,,,,,,,,,,,,,,1,NA
Sphere Social,,,,,,,,,,,,,,,,3,4
STK,,,,,,,,,,,,,,,,1,NA
Storiqa,0,2,0,1,0,1,0,1,0,3,0,2,3,9,1,1,3
Storj,,,,,,,,,,,,,,,,1,4
Storm,0,1,0,0,0,0,0,0,0,3,1,2,12,12,1,3,4
Stox,0,1,0,1,1,0,1,1,0,3,2,1,19,6,1,3,NA
Streamr DATAcoin,0,2,1,0,0,0,0,0,0,3,2,2,4,0,0,3,4
Substratum,,,,,,,,,,,,,,,,3,4
Swissborg,0,0,0,1,1,0,1,1,1,3,1,1,6,9,0,3,2
TBIS,0,2,1,1,0,0,0,0,0,2,0,0,6,0,0,3,NA
TE-FOOD,,,,,,,,,,,,,,,,3,1
Telcoin,0,1,0,0,0,0,0,0,0,3,1,2,10,0,0,3,NA
TenX,,,,,,,,,,,,,,,,1,2
The Bee Token,,,,,,,,,,,,,,,,3,4
Thekey.vip,0,2,0,0,0,0,0,0,0,3,2,1,28,2,1,3,1
THETA,,,,,,,,,,,,,,,,3,4
Thought Network,,,,,,,,,,,,,,,,3,NA
Thrive,,,,,,,,,,,,,,,,3,4
Tierion,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1
Time New Bank,,,,,,,,,,,,,,,,1,3
Tokencard,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,2
TokenDesk,,,,,,,,,,,,,,,,1,2
Tokenomy,,,,,,,,,,,,,,,,3,NA
TokenPay,,,,,,,,,,,,,,,,1,2
Tokens,,,,,,,,,,,,,,,,3,2
TOKIA,,,,,,,,,,,,,,,,1,2
Trade Token,0,0,0,1,1,0,0,1,0,3,0,1,15,11,0,3,3
TraDove,0,0,1,,,,,,,,,,,,,1,3
Trakinvest,0,1,1,1,1,0,0,0,0,3,2,1,14,10,1,3,3
Transcodium,0,1,1,,,,,,,,,,,,,3,4
Traxia,0,1,1,,,,,,,,,,,,,3,2
Trinity Network Credit,,,,,,,,,,,,,,,,1,NA
TTC PROTOCOL,,,,,,,,,,,,,,,,3,4
Unibright,0,1,2,1,1,1,0,1,1,0,0,0,0,0,0,3,4
Unikrn,,,,,,,,,,,,,,,,3,NA
United Traders,,,,,,,,,,,,,,,,3,2
Universa,,,,,,,,,,,,,,,,1,NA
Uptoken,,,,,,,,,,,,,,,,1,2
Uquid Coin,,,,,,,,,,,,,,,,1,2
USERVICE,,,,,,,,,,,,,,,,3,3
UTRUST,0,1,0,1,1,0,1,1,0,3,2,1,15,9,1,1,3
Uttoken,0,1,1,1,1,1,0,1,0,2,1,1,37,0,0,3,2
VALID,,,,,,,,,,,,,,,,3,1
Veritaseum,,,,,,,,,,,,,,,,3,2
Viberate,,,,,,,,,,,,,,,,3,3
VideoCoin,,,,,,,,,,,,,,,,3,4
Viewly,,,,,,,,,,,,,,,,3,4
Virtue Poker,,,,,,,,,,,,,,,,3,NA
WaBi,,,,,,,,,,,,,,,,3,1
Wagerr,,,,,,,,,,,,,,,,1,3
Wanchain,,,,,,,,,,,,,,,,1,2
Waves,,,,,,,,,,,,,,,,NA,2
WAX,,,,,,,,,,,,,,,,1,3
WePower,,,,,,,,,,,,,,,,2,3
Winding Tree,,,,,,,,,,,,,,,,1,3
XchangeRate,,,,,,,,,,,,,,,,3,NA
XPlay,,,,,,,,,,,,,,,,1,2
XYO Network,,,,,,,,,,,,,,,,3,4
YGGDRASH,,,,,,,,,,,,,,,,0,NA
Zeepin,,,,,,,,,,,,,,,,3,3
Zen Protocol,,,,,,,,,,,,,,,,1,2
Zilliqa,,,,,,,,,,,,,,,,1,NA
1mil,,,,,,,,,,,,,,,,,
88 Coin,,,,,,,,,,,,,,,,1,2
300cubits TEU,0,0,0,1,1,1,0,1,0,3,0,1,2,3,0,1,3
AB-CHAIN,,,,,,,,,,,,,,,,3,4
Accord ICO,,,,,,,,,,,,,,,,1,NA
Adel,1,2,1,1,1,0,0,0,0,3,1,1,5,0,0,0,NA
Aditus,,,,,,,,,,,,,,,,1,3
Aeron,,,,,,,,,,,,,,,,3,4
Aeternity,,,,,,,,,,,,,,,,1,NA
Africunia,,,,,,,,,,,,,,,,1,2
AI Coin,,,,,,,,,,,,,,,,3,3
Aigang,0,1,0,1,1,1,1,0,0,3,1,1,7,3,1,1,3
Aion,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
Air platform,,,,,,,,,,,,,,,,3,1
ALEPH Market,,,,,,,,,,,,,,,,1,3
ALIS,0,1,0,1,1,0,0,0,0,3,1,0,5,0,0,3,4
Altocar,,,,,,,,,,,,,,,,1,3
